country,Dec27,Dec28,Dec29,Dec30,Dec31,Jan1,Jan2,Jan3,Jan4,Jan5,Jan6,Jan7,Jan8,Jan9,Jan10,Jan11,Jan12,Jan13,Jan14,Jan15,Jan16,Jan17,Jan18,Jan19,Jan20,Jan21,Jan22,Jan23,Jan24,Jan25,Jan26,Jan27,Jan28,Jan29
Oman,"42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","41.9741625,-87.9095101","41.259899,28.7405447","23.583946,58.283577","23.5826204,58.3005719","23.5843362,58.3836875","23.1203546,57.279303","23.1393522,57.2998594","23.5774003,58.4307432","23.616315,58.5898338","23.5485691,58.3809914","23.583946,58.283577","22.8128429,59.1773154","22.9171031,57.536292","23.583946,58.283577","23.3972995,57.7921298","23.583946,58.283577","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216"
Costa Rica,"42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","9.9674565,-84.2167015","9.9674565,-84.2167015","9.9674565,-84.2167015","9.9674565,-84.2167015","9.9674565,-84.2167015","9.9674565,-84.2167015","9.9674565,-84.2167015","9.9674565,-84.2167015","9.9674565,-84.2167015","9.9674565,-84.2167015","9.9674565,-84.2167015","9.9674565,-84.2167015","9.9674565,-84.2167015","9.9674565,-84.2167015","9.9674565,-84.2167015","9.9674565,-84.2167015","9.9674565,-84.2167015","9.9674565,-84.2167015","9.9674565,-84.2167015","9.9674565,-84.2167015","9.9674565,-84.2167015","42.9295085,-85.5911216","42.9295085,-85.5911216"
Ecuador,"42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","-0.4945824,-78.7200079","-0.4945824,-78.7200079","-0.4945824,-78.7200079","-1.3389233,-79.3201857","-1.9355751,-78.7135219","-1.3061629,-78.5419035","-1.3061629,-78.5419035","-1.738491,-78.775878","-1.9355751,-78.7135219","-1.4924251,-78.8424222","-1.4869522,-78.0337818","-1.5021117,-78.0678607","-0.9315345,-78.6146048","-0.3772177,-78.1439924","-0.1038163,-78.5250938","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216"
Germany,"42.9295085,-85.5911216","52.3609686,6.6242657","52.3609686,6.6242657","52.3609686,6.6242657","52.3609686,6.6242657","52.5065133,13.1445661","52.5065133,13.1445661","52.5065133,13.1445661","52.5065133,13.1445661","52.5065133,13.1445661","50.9852566,10.875256","50.9852566,10.875256","50.9769682,11.2484166","50.9769682,11.2484166","53.5584902,9.7877422","53.5584902,9.7877422","53.5584902,9.7877422","53.5584902,9.7877422","51.9064957,12.5416191","51.9064957,12.5416191","51.9064957,12.5416191","52.5273582,9.4456489","52.5273582,9.4456489","52.5273582,9.4456489","52.5273582,9.4456489","52.5065133,13.1445661","52.5065133,13.1445661","52.5065133,13.1445661","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216"
Ghana,"42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","5.9733295,-0.0987053","5.9733295,-0.0987053","5.9733295,-0.0987053","5.9733295,-0.0987053","5.9733295,-0.0987053","5.9733295,-0.0987053","5.3662634,-0.646627","5.1322123,-1.3016335","5.1322123,-1.3016335","10.7934048,-0.8780696","10.7934048,-0.8780696","10.7934048,-0.8780696","9.4268316,-0.9273192","9.4268316,-0.9273192","9.5000053,-2.0021887","5.9733295,-0.0987053","5.9733295,-0.0987053","5.9733295,-0.0987053","5.9733295,-0.0987053","5.9733295,-0.0987053","5.9733295,-0.0987053","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216"
Hollywood,"42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","34.0937458,-118.3614973","34.0937458,-118.3614973","34.0937458,-118.3614973","34.0937458,-118.3614973","34.0937458,-118.3614973","34.0937458,-118.3614973","34.0937458,-118.3614973","34.0937458,-118.3614973","34.0937458,-118.3614973","34.0937458,-118.3614973","34.0937458,-118.3614973","34.0937458,-118.3614973","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216"
Israel,"42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","41.9731326,-87.9224737","31.7962994,35.1053198","31.7962994,35.1053198","31.7962994,35.1053198","31.7962994,35.1053198","31.7962994,35.1053198","31.7962994,35.1053198","31.7962994,35.1053198","31.7962994,35.1053198","31.7962994,35.1053198","31.7962994,35.1053198","31.7962994,35.1053198","31.7962994,35.1053198","31.7962994,35.1053198","31.7962994,35.1053198","31.7962994,35.1053198","31.7962994,35.1053198","31.7962994,35.1053198","31.7962994,35.1053198","31.7962994,35.1053198","31.7962994,35.1053198","31.7962994,35.1053198","31.7962994,35.1053198","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216"
Northern Ireland,"42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","40.0026767,-75.2581096","53.3244431,-6.3857843","54.5860246,-5.9328103","54.5860246,-5.9328103","54.5860246,-5.9328103","54.5860246,-5.9328103","54.5860246,-5.9328103","54.5860246,-5.9328103","54.5860246,-5.9328103","54.5860246,-5.9328103","55.1969955,-6.2566508","55.1969955,-6.2566508","55.1969955,-6.2566508","55.1969955,-6.2566508","54.5949592,-5.9966713","54.5949592,-5.9966713","53.3244431,-6.3857843","42.9295085,-85.5911216","42.9295085,-85.5911216"
Nepal,"42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","25.2839926,51.4419574","25.2839926,51.4419574","27.7089559,85.2911135","27.6727305,85.3231056","27.8547594,83.5060659","27.8547594,83.5060659","27.8547594,83.5060659","27.8547594,83.5060659","27.8547594,83.5060659","27.8547594,83.5060659","27.8547594,83.5060659","27.8547594,83.5060659","27.8547594,83.5060659","27.8547594,83.5060659","27.8547594,83.5060659","28.2297046,83.8865791","28.1930662,83.9860691","28.3046073,83.8264023","28.1930662,83.9860691","27.7089559,85.2911135","27.668302,85.3183796","27.7089559,85.2911135","27.7089559,85.2911135","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216"
Puerto Rico,"42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","18.2052282,-67.7069165","18.2052282,-67.7069165","18.2052282,-67.7069165","18.2052282,-67.7069165","18.2052282,-67.7069165","18.2052282,-67.7069165","18.2052282,-67.7069165","18.2052282,-67.7069165","18.2052282,-67.7069165","18.2052282,-67.7069165","18.2052282,-67.7069165","18.2052282,-67.7069165","18.2052282,-67.7069165","18.2052282,-67.7069165","18.2052282,-67.7069165","18.2052282,-67.7069165","18.2052282,-67.7069165","18.2052282,-67.7069165","18.2052282,-67.7069165","18.2052282,-67.7069165","42.9295085,-85.5911216","42.9295085,-85.5911216"
New England,"42.9295085,-85.5911223","42.9295085,-85.5911223","42.9295085,-85.5911223","42.9295085,-85.5911223","42.9295085,-85.5911223","42.9295085,-85.5911223","42.9295085,-85.5911223","42.9295085,-85.5911223","42.9295085,-85.5911223","42.9295085,-85.5911223","42.9295085,-85.5911223","42.9295085,-85.5911223","41.8883555,-70.7048962","41.8883555,-70.7048962","41.9381561,-70.6275421","41.7988246,-70.5882823","42.3145186,-71.1103651","42.4587323,-71.4297015","42.4587323,-71.4297015","42.4587323,-71.4297015","42.448139,-71.2601079","42.5157007,-70.9172727","42.3676726,-72.5405102","42.4521464,-71.4286715","42.3145186,-71.1103651","42.4521464,-71.4286715","42.4521464,-71.4286715","42.3784484,-71.1479289","42.3145186,-71.1103651","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216"
Mediterranean Crossings,"42.9295085,-85.5911216","42.9295085,-85.5911217","42.9295085,-85.5911218","42.9295085,-85.5911219","42.9295085,-85.5911220","42.9295085,-85.5911221","42.9295085,-85.5911222","42.9295085,-85.5911223","42.9295085,-85.5911224","42.9295085,-85.5911225","42.9295085,-85.5911226","41.3947051,2.0086816","41.3947051,2.0086816","41.3947051,2.0086816","41.3947051,2.0086816","43.1493375,2.8934436","43.1493375,2.8934436","43.2803051,5.2404105","43.2803051,5.2404105","43.2803051,5.2404105","43.2803051,5.2404105","43.2803051,5.2404105","44.4468921,8.7507464","43.7799368,11.1709275","43.7799368,11.1709275","43.7799368,11.1709275","43.094997,12.3102837","41.8504437,11.9544417","41.8504437,11.9544417","41.8504437,11.9544417","41.8504437,11.9544417","41.8504437,11.9544417","42.9295085,-85.5911216","42.9295085,-85.5911216"
New Zealand,"42.9295085,-85.5911216","42.9295085,-85.5911217","42.9295085,-85.5911218","42.9295085,-85.5911219","42.9295085,-85.5911220","42.9295085,-85.5911221","42.9295085,-85.5911222","42.9295085,-85.5911223","42.9295085,-85.5911216","42.9295085,-85.5911216","37.6213129,-122.3811441","-37.0082476,174.7828471","-36.8563675,174.7652744","-35.4581542,174.1349608","-35.1690874,174.0942142","-35.2665471,174.0796818","-35.6005655,173.5259601","-38.1633162,176.2423542","-38.1262246,176.2448148","-38.3171459,175.0556697","-37.9753031,176.9499191","-37.6478986,177.8731083","-37.6478986,177.8731083","-38.9586739,175.3886401","-39.0369566,175.6498581","-39.0995423,175.645957","-39.0995423,175.645957","-38.6599449,175.2810193","-38.2608241,175.10134","-36.85626,174.7653113","-36.6001503,174.8809087","-36.85626,174.7653113","42.9295085,-85.5911216","42.9295085,-85.5911216"
South Korea,"42.9295085,-85.5911216","42.9295085,-85.5911217","42.9295085,-85.5911218","42.9295085,-85.5911219","42.9295085,-85.5911220","42.9295085,-85.5911221","42.9295085,-85.5911222","42.9295085,-85.5911223","42.9295085,-85.5911224","42.9295085,-85.5911225","42.9295085,-85.5911226","42.9295085,-85.5911227","35.7719867,140.3906614","37.4601908,126.438507","35.7353659,123.3791992","35.7353659,123.3791993","35.7353659,123.3791994","35.7353659,123.3791995","35.7353659,123.3791996","35.7353659,123.3791997","35.7353659,123.3791998","35.7353659,123.3791999","35.7353659,123.3792000","35.7353659,123.3792001","35.7353659,123.3792002","35.7353659,123.3792003","35.7353659,123.3792004","35.7353659,123.3792005","35.7353659,123.3792006","35.7353659,123.3792007","35.7353659,123.3792008","42.9295085,-85.5911216","42.9295085,-85.5911216","42.9295085,-85.5911216"
Zambia,"42.9295085,-85.5911216","42.9295085,-85.5911217","42.9295085,-85.5911218","42.9295085,-85.5911219","42.9295085,-85.5911220","42.9295085,-85.5911221","42.9295085,-85.5911222","42.9295085,-85.5911223","42.9295085,-85.5911224","42.9295085,-85.5911225","42.9295085,-85.5911226","42.9295085,-85.5911227","42.9295085,-85.5911228","42.9295085,-85.5911229","8.9800689,38.7967432","-15.416786,28.2036636","-15.416786,28.2036636","-11.3132605,25.5508492","-11.3132605,25.5508492","-12.2901697,33.1618021","-12.2901697,33.1618021","-12.2901697,33.1618022","-12.2901697,33.1618023","-12.2901697,33.1618024","-12.2901697,33.1618025","-12.2901697,33.1618026","-12.2901697,33.1618027","-12.2901697,33.1618028","-15.416786,28.2036636","-15.4326001,28.3572471","-15.4326001,28.3572471","38.9531162,-77.4587275","42.9295085,-85.5911216","42.9295085,-85.5911216"
